month_n,district_n,anemic_free_women,child_immunization,child_bf_practices,child_cf_practices
Jan,Ahmadnagar,0.8,0.6,1,0.9
Jan,Akola,0.6,0.4,0.8,0.5
Jan,Amravati,0.4,0.8,0.7,0.6
Jan,Aurangabad,1,0.4,0.8,0.8
Jan,Beed,1,0.4,0.7,0.7
Jan,Bhandara,0.2,0.6,0.9,0.8
Jan,Buldana,0.8,0.8,1,0.8
Jan,Chandrapur,0.4,0.8,0.8,0.9
Jan,Dhule,1,0.4,0.9,0.7
Jan,Gadchiroli,0.4,0.4,0.5,0.3
Jan,Gondia,0.4,0.6,1,0.9
Jan,Hingoli,0.8,0.4,1,0.8
Jan,Jalgaon,0.8,1,0.9,0.8
Jan,Jalna,1,0.4,0.9,0.8
Jan,Kolhapur,0.8,0.6,0.9,1
Jan,Latur,0.8,0.4,0.6,0.6
Jan,Mumbai City,1,0.4,0.7,0.4
Jan,Mumbai Suburban,1,0.4,0.9,0.8
Jan,Nagpur,0.6,0.6,0.9,0.7
Jan,Nanded,0.8,0.4,0.8,0.7
Jan,Nandurbar,0.6,0.4,0.7,0.6
Jan,Nashik,1,0.8,0.7,1
Jan,Osmanabad,0.8,0.4,1,0.9
Jan,Palghar,1,0.4,0.8,0.4
Jan,Parbhani,0.8,0.4,0.8,0.8
Jan,Pune,0.8,0.6,0.8,0.8
Jan,Raigad,0.8,0.6,0.8,0.6
Jan,Ratnagiri,0.8,0.8,0.9,0.8
Jan,Sangli,0.8,0.4,0.7,0.6
Jan,Satara,0.6,0.8,0.9,0.9
Jan,Sindhudurg,0.6,0.6,0.7,0.4
Jan,Solapur,1,0.4,0.8,0.8
Jan,Thane,0.8,0.4,0.8,0.8
Jan,Wardha,0.6,0.6,0.8,0.6
Jan,Washim,0.8,0.6,0.6,0.8
Jan,Yavatmal,0.6,0.4,0.7,0.6
Jan,BestDistrict,1,1,1,1
Jan,Maharashtra,0.8,0.6,0.8,0.8
Nov,Ahmadnagar,0.8,0.6,0.9,0.8
Nov,Akola,0.6,0.2,0.4,0.2
Nov,Amravati,0.4,0.6,0.5,0.4
Nov,Aurangabad,1,0.4,0.6,0.5
Nov,Beed,1,0.2,0.5,0.5
Nov,Bhandara,0.2,0.6,0.8,0.5
Nov,Buldana,0.8,0.6,1,0.8
Nov,Chandrapur,0.4,0.6,0.7,0.7
Nov,Dhule,1,0.4,0.8,0.5
Nov,Gadchiroli,0.6,0.4,0.2,0.2
Nov,Gondia,0.2,0.6,0.9,0.8
Nov,Hingoli,0.8,0.2,0.4,0.2
Nov,Jalgaon,0.8,1,0.8,0.7
Nov,Jalna,1,0.2,0.8,0.7
Nov,Kolhapur,0.8,0.6,0.8,0.8
Nov,Latur,0.8,0.2,0.3,0.4
Nov,Mumbai City,1,0.2,0.3,0.2
Nov,Mumbai Suburban,1,0.4,0.6,0.4
Nov,Nagpur,0.6,0.4,0.7,0.4
Nov,Nanded,0.8,0.4,0.7,0.5
Nov,Nandurbar,0.8,0.4,0.6,0.5
Nov,Nashik,1,0.6,0.6,0.8
Nov,Osmanabad,0.8,0.4,0.8,0.8
Nov,Palghar,1,0.2,0.2,0.2
Nov,Parbhani,1,0.4,0.6,0.5
Nov,Pune,0.8,0.4,0.6,0.4
Nov,Raigad,1,0.6,0.5,0.2
Nov,Ratnagiri,0.8,0.8,0.6,0.5
Nov,Sangli,0.8,0.4,0.4,0.2
Nov,Satara,0.8,0.6,0.6,0.7
Nov,Sindhudurg,0.6,0.6,0.5,0.3
Nov,Solapur,1,0.4,0.6,0.5
Nov,Thane,0.8,0.4,0.6,0.6
Nov,Wardha,0.6,0.4,0.5,0.6
Nov,Washim,0.8,0.6,0.5,0.5
Nov,Yavatmal,0.8,0.4,0.4,0.2
Nov,BestDistrict,1,1,1,0.8
Nov,Maharashtra,0.8,0.4,0.6,0.5
Dec,Ahmadnagar,0.8,0.6,1,1
Dec,Akola,0.6,0.4,0.7,0.4
Dec,Amravati,0.4,0.8,0.6,0.4
Dec,Aurangabad,1,0.4,0.7,0.7
Dec,Beed,1,0.4,0.6,0.6
Dec,Bhandara,0.2,0.6,0.8,0.7
Dec,Buldana,0.8,0.6,1,0.8
Dec,Chandrapur,0.4,0.6,0.8,0.9
Dec,Dhule,1,0.4,0.8,0.7
Dec,Gadchiroli,0.4,0.4,0.3,0.2
Dec,Gondia,0.4,0.6,1,0.9
Dec,Hingoli,0.8,0.2,0.7,0.5
Dec,Jalgaon,0.8,1,0.9,0.8
Dec,Jalna,1,0.4,0.8,0.7
Dec,Kolhapur,0.8,0.6,0.8,1
Dec,Latur,0.8,0.4,0.6,0.6
Dec,Mumbai City,1,0.2,0.4,0.4
Dec,Mumbai Suburban,1,0.4,0.7,0.6
Dec,Nagpur,0.6,0.6,0.7,0.6
Dec,Nanded,0.8,0.4,0.8,0.7
Dec,Nandurbar,0.8,0.4,0.6,0.5
Dec,Nashik,1,0.8,0.6,0.8
Dec,Osmanabad,0.8,0.4,0.8,1
Dec,Palghar,1,0.4,0.5,0.2
Dec,Parbhani,0.8,0.4,0.8,0.6
Dec,Pune,0.8,0.6,0.7,0.6
Dec,Raigad,0.8,0.6,0.7,0.4
Dec,Ratnagiri,0.8,0.8,0.7,0.7
Dec,Sangli,0.8,0.4,0.6,0.4
Dec,Satara,0.6,0.8,0.6,0.8
Dec,Sindhudurg,0.6,0.6,0.7,0.4
Dec,Solapur,1,0.4,0.7,0.7
Dec,Thane,0.8,0.4,0.7,0.8
Dec,Wardha,0.6,0.6,0.6,0.7
Dec,Washim,0.8,0.6,0.6,0.6
Dec,Yavatmal,0.6,0.4,0.5,0.4
Dec,BestDistrict,1,1,1,1
Dec,Maharashtra,0.8,0.6,0.7,0.7
